Ident;X;Y;Transfers;InjectedTransfers;PodsHandled;PodHandlingTimeAvg;PodHandlingTimeVar;PodHandlingTimeMin;PodHandlingTimeMax;PileOn;IdleTime;UpTime
InputStation0;0.50;12.50;0;0;0;0;0;0;0;0;7200;0
OutputStation0;55.50;3.50;84;0;53;16.9761584159327;163.200312928311;10.0444444444445;80.1605555555556;1.58490566037736;6375.69153220584;7200
OutputStation1;55.50;9.50;98;0;49;21.5863814269166;148.800278425144;10.045;51.8895382358573;2;6236.00076921555;7200
