#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
12959.66;0;355;0;2;0/12959.66;0/3583.76,1/600.35;0/0;0/12959.66,1/12959.66;0/0;0/19,1/7;0/0;0/20,1/17;0/0;0/0,1/0;0/0;0/154,1/201;0/0;0/957,1/1262
13019.88;0;357;0;2;0/13019.88;0/3585.83,1/601.95;0/0;0/13019.88,1/13019.88;0/0;0/18,1/8;0/0;0/20,1/17;0/0;0/0,1/0;0/0;0/154,1/203;0/0;0/963,1/1268
13079.87;0;359;0;2;0/13079.87;0/3587.44,1/603.72;0/0;0/13079.87,1/13079.87;0/0;0/23,1/12;0/0;0/25,1/21;0/0;0/0,1/0;0/0;0/155,1/204;0/0;0/969,1/1274
13139.88;0;360;0;2;0/13139.88;0/3588.22,1/605.28;0/0;0/13139.88,1/13139.88;0/0;0/16,1/10;0/0;0/19,1/18;0/0;0/0,1/0;0/0;0/155,1/205;0/0;0/975,1/1280
13199.83;0;361;0;2;0/13199.83;0/3590.16,1/608.14;0/0;0/13199.83,1/13199.83;0/0;0/18,1/9;0/0;0/21,1/18;0/0;0/0,1/0;0/0;0/156,1/205;0/0;0/980,1/1286
13259.62;0;363;0;2;0/13259.62;0/3591.11,1/610.43;0/0;0/13259.62,1/13259.62;0/0;0/18,1/10;0/0;0/19,1/21;0/0;0/0,1/0;0/0;0/158,1/205;0/0;0/986,1/1292
13319.99;0;363;0;2;0/13319.99;0/3611.59,1/612.3;0/0;0/13319.99,1/13319.99;0/0;0/17,1/6;0/0;0/17,1/18;0/0;0/0,1/0;0/0;0/158,1/205;0/0;0/990,1/1298
13379.9;0;364;0;2;0/13379.9;0/3671.49,1/614.12;0/0;0/13379.9,1/13379.9;0/0;0/16,1/1;0/0;0/17,1/12;0/0;0/0,1/0;0/0;0/158,1/206;0/0;0/990,1/1304
13439.78;0;365;0;2;0/13439.78;0/3683.72,1/616.35;0/0;0/13439.78,1/13439.78;0/0;0/17,1/5;0/0;0/18,1/15;0/0;0/0,1/0;0/0;0/159,1/206;0/0;0/995,1/1310
13499.82;0;367;0;2;0/13499.82;0/3732.1,1/618.13;0/0;0/13499.82,1/13499.82;0/0;0/17,1/2;0/0;0/17,1/12;0/0;0/0,1/0;0/0;0/159,1/208;0/0;0/996,1/1316
13559.65;0;368;0;2;0/13559.65;0/3791.93,1/620.3;0/0;0/13559.65,1/13559.65;0/0;0/16,1/5;0/0;0/17,1/15;0/0;0/0,1/0;0/0;0/159,1/209;0/0;0/996,1/1322
13619.6;0;370;0;2;0/13619.6;0/3842.02,1/622.36;0/0;0/13619.6,1/13619.6;0/0;0/16,1/3;0/0;0/16,1/14;0/0;0/0,1/0;0/0;0/160,1/210;0/0;0/997,1/1328
13679.81;0;372;0;2;0/13679.81;0/3885.76,1/624.33;0/0;0/13679.81,1/13679.81;0/0;0/13,1/4;0/0;0/14,1/15;0/0;0/0,1/0;0/0;0/161,1/211;0/0;0/999,1/1333
13739.91;0;374;0;2;0/13739.91;0/3888.18,1/626.3;0/0;0/13739.91,1/13739.91;0/0;0/20,1/7;0/0;0/22,1/16;0/0;0/0,1/0;0/0;0/161,1/213;0/0;0/1005,1/1339
13799.94;0;374;0;2;0/13799.94;0/3891.21,1/627.57;0/0;0/13799.94,1/13799.94;0/0;0/28,1/8;0/0;0/31,1/17;0/0;0/0,1/0;0/0;0/161,1/213;0/0;0/1011,1/1345
13859.76;0;375;0;2;0/13859.76;0/3893.15,1/628.78;0/0;0/13859.76,1/13859.76;0/0;0/25,1/8;0/0;0/28,1/16;0/0;0/0,1/0;0/0;0/161,1/214;0/0;0/1017,1/1351
13919.97;0;377;0;2;0/13919.97;0/3895.23,1/630.3;0/0;0/13919.97,1/13919.97;0/0;0/21,1/12;0/0;0/26,1/18;0/0;0/0,1/0;0/0;0/161,1/216;0/0;0/1023,1/1357
13979.8;0;378;0;2;0/13979.8;0/3896.87,1/632.12;0/0;0/13979.8,1/13979.8;0/0;0/17,1/13;0/0;0/23,1/18;0/0;0/0,1/0;0/0;0/161,1/217;0/0;0/1029,1/1363
14039.68;0;380;0;2;0/14039.68;0/3898.57,1/632.75;0/0;0/14039.68,1/14039.68;0/0;0/11,1/10;0/0;0/17,1/15;0/0;0/0,1/0;0/0;0/162,1/218;0/0;0/1035,1/1369
14099.97;0;381;0;2;0/14099.97;0/3900.33,1/635.12;0/0;0/14099.97,1/14099.97;0/0;0/13,1/13;0/0;0/20,1/17;0/0;0/0,1/0;0/0;0/162,1/219;0/0;0/1041,1/1375
14159.82;0;384;0;2;0/14159.82;0/3902.06,1/636.58;0/0;0/14159.82,1/14159.82;0/0;0/20,1/12;0/0;0/26,1/17;0/0;0/0,1/0;0/0;0/164,1/220;0/0;0/1047,1/1381
14219.88;0;386;0;2;0/14219.88;0/3902.85,1/638.43;0/0;0/14219.88,1/14219.88;0/0;0/13,1/14;0/0;0/20,1/17;0/0;0/0,1/0;0/0;0/164,1/222;0/0;0/1053,1/1387
14279.77;0;388;0;2;0/14279.77;0/3904.16,1/639.85;0/0;0/14279.77,1/14279.77;0/0;0/11,1/15;0/0;0/17,1/19;0/0;0/0,1/0;0/0;0/166,1/222;0/0;0/1059,1/1393
14339.72;0;393;0;2;0/14339.72;0/3905.51,1/641.18;0/0;0/14339.72,1/14339.72;0/0;0/12,1/16;0/0;0/18,1/19;0/0;0/0,1/0;0/0;0/168,1/225;0/0;0/1065,1/1399
14399.98;0;397;0;2;0/14399.98;0/3908.08,1/641.93;0/0;0/14399.98,1/14399.98;0/0;0/18,1/16;0/0;0/21,1/23;0/0;0/0,1/0;0/0;0/172,1/225;0/0;0/1071,1/1405
