#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
2579.69;0;180;0;2;0/2579.69;0/856.23,1/876.51;0/0;0/2579.69,1/2579.69;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/86,1/94;0/0;0/175,1/173
2639.69;0;180;0;2;0/2639.69;0/916.23,1/936.51;0/0;0/2639.69,1/2639.69;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/86,1/94;0/0;0/175,1/173
2699.69;0;180;0;2;0/2699.69;0/976.23,1/996.51;0/0;0/2699.69,1/2699.69;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/86,1/94;0/0;0/175,1/173
2759.69;0;180;0;2;0/2759.69;0/1036.23,1/1056.51;0/0;0/2759.69,1/2759.69;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/86,1/94;0/0;0/175,1/173
2819.69;0;180;0;2;0/2819.69;0/1096.23,1/1116.51;0/0;0/2819.69,1/2819.69;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/86,1/94;0/0;0/175,1/173
2879.69;0;180;0;2;0/2879.69;0/1156.23,1/1176.51;0/0;0/2879.69,1/2879.69;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/86,1/94;0/0;0/175,1/173
2939.69;0;180;0;2;0/2939.69;0/1216.23,1/1236.51;0/0;0/2939.69,1/2939.69;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/86,1/94;0/0;0/175,1/173
2999.69;0;180;0;2;0/2999.69;0/1276.23,1/1296.51;0/0;0/2999.69,1/2999.69;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/86,1/94;0/0;0/175,1/173
3059.69;0;180;0;2;0/3059.69;0/1336.23,1/1356.51;0/0;0/3059.69,1/3059.69;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/86,1/94;0/0;0/175,1/173
3119.69;0;180;0;2;0/3119.69;0/1396.23,1/1416.51;0/0;0/3119.69,1/3119.69;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/86,1/94;0/0;0/175,1/173
3179.69;0;180;0;2;0/3179.69;0/1456.23,1/1476.51;0/0;0/3179.69,1/3179.69;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/86,1/94;0/0;0/175,1/173
3239.69;0;180;0;2;0/3239.69;0/1516.23,1/1536.51;0/0;0/3239.69,1/3239.69;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/86,1/94;0/0;0/175,1/173
3299.69;0;180;0;2;0/3299.69;0/1576.23,1/1596.51;0/0;0/3299.69,1/3299.69;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/86,1/94;0/0;0/175,1/173
