Ident;X;Y;Transfers;InjectedTransfers;PodsHandled;PodHandlingTimeAvg;PodHandlingTimeVar;PodHandlingTimeMin;PodHandlingTimeMax;PileOn;IdleTime;UpTime
InputStation0;0.50;12.50;0;0;0;0;0;0;0;0;2500;0
OutputStation0;45.50;3.50;118;0;15;80.4342817913374;8308.85373208264;11.8488888888885;280.572222222222;7.86666666666667;1341.61707443665;2500
OutputStation1;45.50;9.50;113;0;16;72.5808369867614;9214.89205818065;11.8532395419199;323.729389488371;7.0625;1389.40838551904;2500
OutputStation2;45.50;15.50;117;0;13;91.7820431461898;14102.2718889648;11.5211111111114;381.212222222222;9;1352.28816817655;2500
