#TimeStamp;BotsQueueing;TaskBotCounts
4139.73;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4199.81;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4260;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4319.61;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4379.61;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
4439.97;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4499.86;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4559.76;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
4619.74;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4679.92;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4739.88;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4799.91;3;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
4859.96;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4919.84;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4979.97;0;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/3,Rest/0
5039.61;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5099.95;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
5159.85;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5219.86;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5279.75;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5339.86;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5399.84;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
5459.77;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
5519.95;1;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
5579.83;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5639.75;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5699.93;1;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
5759.99;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5819.62;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5879.63;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5939.89;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
5999.76;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
6059.97;4;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
6119.98;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
6179.98;1;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
6239.86;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
6299.98;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
6359.63;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
6419.87;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
6479.85;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
6539.79;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
6599.93;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
6659.71;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
6720;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
6779.67;4;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
6839.61;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
6899.96;4;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
