#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;0;2;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0
59.81;0;0;0;2;0/59.81;0/59.81,1/59.81;0/0;0/59.81,1/59.81;0/0;0/0,1/0;0/0;0/6,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0
119.86;0;5;0;2;0/119.86;0/68.9,1/119.86;0/0;0/119.86,1/119.86;0/0;0/0,1/0;0/0;0/0,1/3;0/0;0/0,1/0;0/0;0/5,1/0;0/0;0/6,1/0
179.97;0;9;0;2;0/179.97;0/97.12,1/150.26;0/0;0/179.97,1/179.97;0/0;0/0,1/0;0/0;0/1,1/0;0/0;0/0,1/0;0/0;0/7,1/2;0/0;0/9,1/3
239.92;0;10;0;2;0/239.92;0/141.95,1/210.2;0/0;0/239.92,1/239.92;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/8,1/2;0/0;0/10,1/3
299.89;0;10;0;2;0/299.89;0/201.92,1/270.18;0/0;0/299.89,1/299.89;0/0;0/0,1/1;0/0;0/4,1/3;0/0;0/0,1/0;0/0;0/8,1/2;0/0;0/10,1/3
359.81;0;17;0;2;0/359.81;0/222.6,1/306.98;0/0;0/359.81,1/359.81;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/12,1/5;0/0;0/14,1/6
419.84;0;17;0;2;0/419.84;0/282.63,1/360.85;0/0;0/419.84,1/419.84;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/12,1/5;0/0;0/14,1/6
479.69;0;17;0;2;0/479.69;0/342.48,1/420.7;0/0;0/479.69,1/479.69;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/12,1/5;0/0;0/14,1/6
539.69;0;17;0;2;0/539.69;0/402.48,1/480.7;0/0;0/539.69,1/539.69;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/12,1/5;0/0;0/14,1/6
599.69;0;17;0;2;0/599.69;0/462.48,1/540.7;0/0;0/599.69,1/599.69;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/12,1/5;0/0;0/14,1/6
659.69;0;17;0;2;0/659.69;0/522.48,1/600.7;0/0;0/659.69,1/659.69;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/12,1/5;0/0;0/14,1/6
719.69;0;17;0;2;0/719.69;0/582.48,1/660.7;0/0;0/719.69,1/719.69;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/12,1/5;0/0;0/14,1/6
779.69;0;17;0;2;0/779.69;0/642.48,1/720.7;0/0;0/779.69,1/779.69;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/12,1/5;0/0;0/14,1/6
839.69;0;17;0;2;0/839.69;0/702.48,1/780.7;0/0;0/839.69,1/839.69;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/12,1/5;0/0;0/14,1/6
899.69;0;17;0;2;0/899.69;0/762.48,1/840.7;0/0;0/899.69,1/899.69;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/12,1/5;0/0;0/14,1/6
959.66;0;17;0;2;0/959.66;0/822.45,1/900.67;0/0;0/959.66,1/959.66;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/12,1/5;0/0;0/14,1/6
