#TimeStamp;BotsQueueing;TaskBotCounts
4139.84;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4199.61;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4259.77;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4319.89;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4379.89;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4439.89;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4499.61;3;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
4559.98;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
4619.86;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4679.94;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4739.81;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4799.94;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4859.95;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4919.99;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4980;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5039.81;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5099.81;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5159.99;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5219.99;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5279.92;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5339.61;3;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
5399.7;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
5459.93;2;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
5519.84;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5579.81;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
5639.79;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5699.59;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5759.61;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5819.83;4;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
5879.78;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5939.88;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5999.88;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
6059.82;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
6119.95;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
6179.61;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
6239.82;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
6299.91;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
6359.71;3;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
6419.76;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
6479.85;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
6539.93;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
6599.73;3;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
6659.69;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
6719.63;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
