#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
1259.75;0;217;0;3;0/1259.75;0/171.07,1/263.13,2/119.5;0/0;0/1259.75,1/1259.75,2/1259.75;0/0;0/22,1/18,2/18;0/0;0/31,1/22,2/20;0/0;0/0,1/0,2/0;0/0;0/74,1/68,2/75;0/0;0/111,1/101,2/116
1319.6;0;229;0;3;0/1319.6;0/171.71,1/282.9,2/138.28;0/0;0/1319.6,1/1319.6,2/1319.6;0/0;0/25,1/22,2/17;0/0;0/34,1/24,2/22;0/0;0/0,1/0,2/0;0/0;0/79,1/71,2/79;0/0;0/117,1/105,2/120
1379.97;0;240;0;3;0/1379.97;0/172.4,1/294.21,2/139.83;0/0;0/1379.97,1/1379.97,2/1379.97;0/0;0/21,1/19,2/10;0/0;0/28,1/22,2/18;0/0;0/0,1/0,2/0;0/0;0/85,1/74,2/81;0/0;0/123,1/110,2/126
1439.99;0;248;0;3;0/1439.99;0/173.69,1/307.61,2/141.43;0/0;0/1439.99,1/1439.99,2/1439.99;0/0;0/20,1/19,2/11;0/0;0/26,1/20,2/21;0/0;0/0,1/0,2/0;0/0;0/88,1/77,2/83;0/0;0/129,1/115,2/132
1499.83;0;257;0;3;0/1499.83;0/175.34,1/334.49,2/142;0/0;0/1499.83,1/1499.83,2/1499.83;0/0;0/17,1/24,2/9;0/0;0/23,1/26,2/18;0/0;0/0,1/0,2/0;0/0;0/90,1/79,2/88;0/0;0/135,1/118,2/138
1559.85;0;270;0;3;0/1559.85;0/176.3,1/343.2,2/143.1;0/0;0/1559.85,1/1559.85,2/1559.85;0/0;0/23,1/17,2/12;0/0;0/26,1/20,2/22;0/0;0/0,1/0,2/0;0/0;0/95,1/82,2/93;0/0;0/141,1/124,2/144
1619.6;0;283;0;3;0/1619.6;0/177.78,1/345.37,2/143.88;0/0;0/1619.6,1/1619.6,2/1619.6;0/0;0/18,1/20,2/19;0/0;0/23,1/22,2/29;0/0;0/0,1/0,2/0;0/0;0/99,1/86,2/98;0/0;0/147,1/129,2/150
1679.97;0;295;0;3;0/1679.97;0/178.82,1/366.54,2/144.7;0/0;0/1679.97,1/1679.97,2/1679.97;0/0;0/18,1/22,2/29;0/0;0/23,1/26,2/36;0/0;0/0,1/0,2/0;0/0;0/103,1/89,2/103;0/0;0/153,1/133,2/156
1740;0;304;0;3;0/1740;0/191.2,1/367.72,2/145.84;0/0;0/1740,1/1740,2/1740;0/0;0/20,1/15,2/22;0/0;0/22,1/20,2/33;0/0;0/0,1/0,2/0;0/0;0/107,1/92,2/105;0/0;0/157,1/139,2/162
1799.87;0;315;0;3;0/1799.87;0/211.55,1/375.34,2/147.15;0/0;0/1799.87,1/1799.87,2/1799.87;0/0;0/13,1/14,2/25;0/0;0/17,1/17,2/34;0/0;0/0,1/0,2/0;0/0;0/110,1/97,2/108;0/0;0/162,1/145,2/168
1859.93;0;327;0;3;0/1859.93;0/212.08,1/398.11,2/148.02;0/0;0/1859.93,1/1859.93,2/1859.93;0/0;0/16,1/20,2/21;0/0;0/19,1/23,2/31;0/0;0/0,1/0,2/0;0/0;0/116,1/100,2/111;0/0;0/167,1/148,2/174
1919.76;0;338;0;3;0/1919.76;0/212.95,1/400.67,2/149.11;0/0;0/1919.76,1/1919.76,2/1919.76;0/0;0/17,1/16,2/19;0/0;0/22,1/20,2/27;0/0;0/0,1/0,2/0;0/0;0/119,1/103,2/116;0/0;0/173,1/154,2/180
1979.94;0;352;0;3;0/1979.94;0/222.78,1/403.65,2/150.15;0/0;0/1979.94,1/1979.94,2/1979.94;0/0;0/15,1/22,2/20;0/0;0/20,1/25,2/28;0/0;0/0,1/0,2/0;0/0;0/124,1/106,2/122;0/0;0/178,1/160,2/186
2039.99;0;365;0;3;0/2039.99;0/229.39,1/404.26,2/151.02;0/0;0/2039.99,1/2039.99,2/2039.99;0/0;0/17,1/16,2/26;0/0;0/23,1/19,2/34;0/0;0/0,1/0,2/0;0/0;0/128,1/111,2/126;0/0;0/184,1/166,2/192
2099.81;0;378;0;3;0/2099.81;0/230.67,1/410.4,2/152.03;0/0;0/2099.81,1/2099.81,2/2099.81;0/0;0/18,1/20,2/20;0/0;0/23,1/21,2/31;0/0;0/0,1/0,2/0;0/0;0/132,1/115,2/131;0/0;0/190,1/171,2/198
