#TimeStamp;DistanceTraveled
59.91;463.9
119.96;388.29
179.77;166.81
239.98;177.96
299.85;270.16
360;230.23
419.81;119.67
479.84;174.46
539.95;236.28
599.78;172.55
659.74;109.65
719.93;206.75
779.74;200.1
839.95;206.36
899.8;266.8
959.89;235.58
1019.72;211.8
1079.68;227.52
1139.88;217.69
1199.99;204.57
1260;302.57
1319.95;125.77
1379.73;168.48
1439.71;112.72
1499.81;165
1559.74;216.68
1619.88;247.88
1679.94;90.13
1739.77;87.51
1799.91;44.14
1859.84;82.11
1919.9;127.01
1979.72;169.31
2039.9;230.51
2099.74;172.04
2159.98;301.08
2219.98;221.15
2279.92;236.14
2339.94;218.02
2399.83;114.34
2459.79;121.21
2519.99;208.4
2579.82;250.08
2639.59;170.2
2699.59;101.09
2759.91;137.77
2819.97;189.46
2879.86;75.08
2939.97;133.66
2999.86;138.05
3059.76;227.19
3119.92;185.23
3179.61;218.81
3239.72;162.56
3299.82;158.87
3359.67;156.73
3419.9;180.33
3479.97;132.18
3539.87;174.17
3599.7;162.81
3659.95;199.9
3719.92;205.07
3779.75;209.6
3839.87;204.91
3899.84;270.19
3959.92;241.93
4019.98;191.12
4080;179.08
4139.99;158
4199.65;159.53
4259.65;137.1
4319.79;221.62
4379.65;223.3
4439.65;162.69
4499.99;102.32
4559.94;212.92
4619.95;156.13
4679.61;220.56
4740;160.99
4799.63;184.06
4859.85;210.29
4919.81;218.15
4979.83;220.61
5039.6;190.41
5099.72;191.01
5159.9;148.79
5219.58;103.87
5279.95;168.14
5339.98;134.57
5399.81;151.31
5459.74;217.05
5519.81;111.19
5579.83;162.6
5639.97;159.74
5699.7;142.97
5759.88;159.33
5819.95;124.88
5879.97;232.77
5939.97;276.42
5999.86;161.2
6059.97;162.4
6119.84;246.91
6179.63;188.8
6239.83;178.95
6299.85;121.05
6359.89;239.22
6419.98;239.4
6479.8;109.06
6539.94;91.64
6599.85;167.94
6659.66;116.94
6719.92;217.73
6779.85;229.72
6839.86;190.25
6899.98;88.1
6959.59;144.9
7019.99;207.5
7079.71;102.57
7139.65;116.82
7199.67;155.67
7259.79;152.62
7319.76;125.89
7379.86;54.05
7439.67;165.96
7500;132.6
7559.92;159.87
7619.68;181.44
7679.89;191.14
7739.81;272.28
7799.76;236.67
7859.91;113.05
7919.74;183.8
7979.74;349.97
8039.99;390.39
8099.91;309.99
8159.96;242.65
8219.9;175.57
8279.94;140.8
8339.98;187.02
8399.82;217.5
8459.99;298.72
8519.7;255.36
8579.81;138.58
8639.94;89.74
8699.99;85.93
8759.71;32.94
8819.9;74.46
8879.97;177.1
8939.61;196.61
8999.84;143.57
9059.86;195.74
9119.81;144.75
9179.88;221.46
9239.72;215.78
9299.98;180.6
9359.71;165.27
9419.97;143.16
9479.99;247.37
9539.62;185.86
9599.94;152.9
9659.98;171.23
9719.64;213.32
9779.66;19.61
9839.71;193
9899.78;145.24
9959.92;221.58
10019.75;205.26
10079.86;131.06
10139.67;93.19
10199.72;189.71
10259.65;208.78
10319.58;185.69
10379.73;196.34
10439.73;147.67
10499.88;163.31
10559.79;194.66
10619.76;165.27
10679.97;239.28
10739.67;161.35
10799.89;264.58
10859.8;190.58
10919.92;193.83
10979.64;152.51
11039.73;210.42
11099.99;186.76
11159.71;114.39
11219.69;139.88
11279.96;266.01
11339.89;271.8
11399.97;283.9
11459.81;226.32
11519.63;144.3
11579.61;192.42
11639.92;185.43
11699.72;133.8
11759.82;113.08
11819.9;79.52
11879.99;142.95
11939.77;204.22
11999.81;197.6
12059.84;256.32
12119.91;225.96
12179.82;203.02
12239.9;321.27
12299.9;368.45
12359.65;205.63
12419.99;41.73
12479.79;80.95
12539.71;136.03
12599.72;154.3
12659.97;147.25
12719.96;215.15
12779.9;180.59
12839.6;201.94
12899.82;214.94
12959.93;245.65
13019.95;189.44
13079.8;95.01
13139.85;175.33
13199.94;248.61
13259.7;198.49
13319.96;189.91
13379.94;303.95
13439.94;265.84
13499.84;219.33
13560;120.45
13619.76;103.58
13679.82;207.74
13739.93;195.16
13799.99;188.42
13859.97;270.46
13919.97;195.98
13979.59;222.99
14039.6;221.93
14099.7;250.45
14159.62;179.94
14219.83;126.4
14279.98;145.03
14339.62;151.71
14399.87;94.37
14459.92;82.29
14519.67;128.38
14579.95;138.21
14639.96;104.49
14699.83;106.71
14759.98;144.23
14819.97;149.06
14879.75;152.49
14939.81;122.71
14999.92;185.83
15059.61;179.18
15119.99;159.81
15179.93;225.43
15239.96;172.82
15299.76;144.14
15359.99;153.64
15419.9;74.81
15479.87;210.62
15539.75;214.86
15599.89;168.48
15659.98;159.12
15719.74;139.08
15779.98;194.28
15839.85;276.51
15899.87;168.52
15959.69;123.38
16019.85;135.74
16079.7;203.35
16139.64;146.41
16199.76;139.23
16259.87;70.04
16319.81;151
16379.9;206.43
16439.99;190.65
16499.95;211.07
16559.79;159.85
16619.81;129.39
16679.96;141.29
16739.8;139.12
16799.62;125.08
16859.72;79.08
16919.92;183.85
16979.68;162.18
17039.91;138.83
17099.71;206.71
17159.97;223.86
17219.8;160.67
17279.74;71.37
17339.86;97.56
17399.97;112.09
17459.73;172.47
17519.99;211.17
17579.9;211.21
17639.98;183.69
17699.95;273.98
17759.97;416.7
17819.99;49.68
17879.6;0
17939.69;0
17999.69;0
18059.69;0
18119.69;0
18179.69;0
18239.69;0
18299.69;0
18359.69;0
18419.69;0
18479.69;0
18539.69;0
18599.69;0
18659.69;0
18719.69;0
18779.69;0
18839.69;0
18899.69;0
18959.69;0
19019.69;0
19079.69;0
19139.69;0
19199.69;0
19259.69;0
19319.69;0
19379.69;0
19439.69;0
19499.69;0
19559.69;0
19619.69;0
19679.69;0
19739.69;0
19799.69;0
19859.69;0
19919.69;0
19979.69;0
20039.69;0
20099.69;0
20159.69;0
20219.69;0
20279.69;0
20339.69;0
20399.69;0
20459.69;0
20519.69;0
20579.69;0
20639.69;0
20699.69;0
20759.69;0
20819.69;0
20879.69;0
20939.69;0
20999.69;0
21059.69;0
21119.69;0
21179.69;0
21239.69;0
21299.69;0
21359.69;0
21419.69;0
21479.69;0
21539.69;0
21599.69;0
21659.69;0
21719.69;0
21779.69;0
21839.69;0
21899.69;0
21959.69;0
22019.69;0
22079.69;0
22139.69;0
22199.69;0
22259.69;0
22319.69;0
22379.69;0
22439.69;0
22499.69;0
22559.69;0
22619.69;0
22679.69;0
22739.69;0
22799.69;0
22859.69;0
22919.69;0
22979.69;0
23039.69;0
23099.69;0
23159.69;0
23219.69;0
23279.69;0
23339.69;0
23399.69;0
23459.69;0
23519.69;0
23579.69;0
23639.69;0
23699.69;0
23759.69;0
23819.69;0
23879.69;0
23939.69;0
23999.69;0
24059.69;0
24119.69;0
24179.69;0
24239.69;0
24299.69;0
24359.69;0
24419.69;0
24479.69;0
24539.69;0
24599.69;0
24659.69;0
24719.69;0
24779.69;0
24839.69;0
24899.69;0
24959.69;0
25019.69;0
25079.69;0
25139.69;0
25199.69;0
25259.69;0
25319.69;0
25379.69;0
25439.69;0
25499.69;0
25559.69;0
25619.69;0
25679.69;0
25739.69;0
25799.69;0
25859.69;0
25919.69;0
25979.69;0
26039.69;0
26099.69;0
26159.69;0
26219.69;0
26279.69;0
26339.69;0
26399.69;0
26459.69;0
26519.69;0
26579.69;0
26639.69;0
26699.69;0
26759.69;0
26819.69;0
26879.69;0
26939.69;0
26999.69;0
27059.69;0
27119.69;0
27179.69;0
27239.69;0
27299.69;0
27359.69;0
27419.69;0
27479.69;0
27539.69;0
27599.69;0
27659.69;0
27719.69;0
27779.69;0
27839.69;0
27899.69;0
27959.69;0
28019.69;0
28079.69;0
28139.69;0
28199.69;0
28259.69;0
28319.69;0
28379.69;0
28439.69;0
28499.69;0
28559.69;0
28619.69;0
28679.69;0
28739.69;0
28799.69;0
28859.69;0
28919.69;0
28979.69;0
29039.69;0
29099.69;0
29159.69;0
29219.69;0
29279.69;0
29339.69;0
29399.69;0
29459.69;0
29519.69;0
29579.69;0
29639.69;0
29699.69;0
29759.69;0
29819.69;0
29879.69;0
29939.69;0
29999.69;0
