Ident;X;Y;Transfers;InjectedTransfers;PodsHandled;PodHandlingTimeAvg;PodHandlingTimeVar;PodHandlingTimeMin;PodHandlingTimeMax;PileOn;IdleTime;UpTime
InputStation0;0.50;12.50;0;0;0;0;0;0;0;0;30000;0
OutputStation0;65.50;3.50;1702;0;865;21.7781770974661;202.614540202362;10.0444444444438;122.53130588686;1.96763005780347;13262.2383936827;30000
OutputStation1;65.50;9.50;1666;0;873;21.0116731300964;205.529925785737;10.0444444444438;172.700000000073;1.90836197021764;13606.7358304076;30000
