#TimeStamp;Bot;Pod;OutputStation
1189.51;15;183;0
1190.84;5;192;2
1196.37;6;160;1
1199.72;3;108;0
1200.87;0;210;2
1206.47;11;44;1
1209.74;2;230;0
1210.6;8;8;2
1216.53;16;206;1
1219.68;12;143;0
1220.92;14;125;2
1226.62;5;192;1
1229.78;1;47;0
1230.92;14;125;2
1236.63;5;192;1
1239.84;13;137;0
1240.84;17;106;2
1246.27;5;192;1
1249.81;9;87;0
1251.11;11;44;2
1256.64;2;230;1
1260.03;7;26;0
1261.35;16;206;2
1266.57;8;8;1
1269.88;6;160;0
1271.41;12;143;2
1280.56;10;113;0
1281.45;4;188;2
1285.48;0;210;1
1291.25;13;137;2
1295.4;3;108;1
1301.31;1;47;2
1305.6;14;125;1
1315.7;15;5;1
1327.16;17;106;1
