#TimeStamp;BotsQueueing;TaskBotCounts
4139.77;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4199.77;2;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
4259.97;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4319.95;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4379.85;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4439.86;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4499.86;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4559.93;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4619.93;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4679.92;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4739.95;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4799.92;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4859.75;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4919.97;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
4979.64;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5039.69;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5099.99;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5159.7;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5219.71;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5279.66;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5339.6;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5399.74;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5459.89;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5519.88;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5579.84;4;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
5639.98;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5699.99;1;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/3,Rest/0
5759.79;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
5819.87;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
5879.6;3;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
5939.76;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
5999.64;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
6059.99;4;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
6119.84;3;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
6179.9;3;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
6239.71;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
6299.88;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
6359.83;4;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
6419.97;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
6479.87;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
6539.83;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
6599.83;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
6659.66;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
6719.66;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
6779.66;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
6839.98;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
6899.68;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
6959.83;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
7019.73;4;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
7079.66;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
7139.9;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
7199.79;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
7259.62;2;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
7319.92;3;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/3,Rest/0
7379.76;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
7439.69;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
7499.71;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
7559.73;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
7619.67;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
7679.78;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
7739.78;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
7799.87;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
7859.87;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
7919.99;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
7979.93;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
8039.88;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
8099.97;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
8159.65;4;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
8219.96;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
8279.85;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
8339.62;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
8399.62;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
8459.73;3;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
8519.99;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
8580;3;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
8639.67;3;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
8699.97;3;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/3,Rest/0
8759.72;1;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/3,Rest/0
8819.83;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
8879.84;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
8939.89;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
8999.81;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
9059.97;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
