#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;0;3;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0
59.96;0;0;0;3;0/59.96;0/59.96,1/59.96,2/59.96;0/0;0/59.96,1/59.96,2/59.96;0/0;0/0,1/0,2/0;0/0;0/6,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0
119.87;0;1;0;3;0/119.87;0/100.29,1/119.87,2/119.87;0/0;0/119.87,1/119.87,2/119.87;0/0;0/0,1/0,2/0;0/0;0/4,1/3,2/0;0/0;0/0,1/0,2/0;0/0;0/1,1/0,2/0;0/0;0/2,1/0,2/0
179.78;0;5;0;3;0/179.78;0/121.26,1/169.85,2/175.25;0/0;0/179.78,1/179.78,2/179.78;0/0;0/0,1/0,2/0;0/0;0/0,1/2,2/3;0/0;0/0,1/0,2/0;0/0;0/5,1/0,2/0;0/0;0/6,1/1,2/1
239.77;0;10;0;3;0/239.77;0/181.24,1/210.14,2/199.96;0/0;0/239.77,1/239.77,2/239.77;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/5,1/2,2/3;0/0;0/6,1/3,2/4
299.93;0;10;0;3;0/299.93;0/241.41,1/270.3,2/260.12;0/0;0/299.93,1/299.93,2/299.93;0/0;0/0,1/0,2/0;0/0;0/4,1/3,2/0;0/0;0/0,1/0,2/0;0/0;0/5,1/2,2/3;0/0;0/6,1/3,2/4
359.87;0;13;0;3;0/359.87;0/281.71,1/320.43,2/320.06;0/0;0/359.87,1/359.87,2/359.87;0/0;0/0,1/0,2/0;0/0;0/2,1/2,2/0;0/0;0/0,1/0,2/0;0/0;0/7,1/3,2/3;0/0;0/8,1/4,2/4
419.99;0;17;0;3;0/419.99;0/321.96,1/360.94,2/380.18;0/0;0/419.99,1/419.99,2/419.99;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/9,1/5,2/3;0/0;0/10,1/6,2/4
479.62;0;17;0;3;0/479.62;0/381.59,1/420.57,2/439.81;0/0;0/479.62,1/479.62,2/479.62;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/9,1/5,2/3;0/0;0/10,1/6,2/4
539.63;0;17;0;3;0/539.63;0/441.6,1/480.59,2/499.83;0/0;0/539.63,1/539.63,2/539.63;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/9,1/5,2/3;0/0;0/10,1/6,2/4
599.63;0;17;0;3;0/599.63;0/501.6,1/540.59,2/559.83;0/0;0/599.63,1/599.63,2/599.63;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/9,1/5,2/3;0/0;0/10,1/6,2/4
659.63;0;17;0;3;0/659.63;0/561.6,1/600.59,2/619.83;0/0;0/659.63,1/659.63,2/659.63;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/9,1/5,2/3;0/0;0/10,1/6,2/4
719.63;0;17;0;3;0/719.63;0/621.6,1/660.59,2/679.83;0/0;0/719.63,1/719.63,2/719.63;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/9,1/5,2/3;0/0;0/10,1/6,2/4
779.63;0;17;0;3;0/779.63;0/681.6,1/720.59,2/739.83;0/0;0/779.63,1/779.63,2/779.63;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/9,1/5,2/3;0/0;0/10,1/6,2/4
839.63;0;17;0;3;0/839.63;0/741.6,1/780.59,2/799.83;0/0;0/839.63,1/839.63,2/839.63;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/9,1/5,2/3;0/0;0/10,1/6,2/4
899.63;0;17;0;3;0/899.63;0/801.6,1/840.59,2/859.83;0/0;0/899.63,1/899.63,2/899.63;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/9,1/5,2/3;0/0;0/10,1/6,2/4
959.63;0;17;0;3;0/959.63;0/861.6,1/900.59,2/919.83;0/0;0/959.63,1/959.63,2/959.63;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/9,1/5,2/3;0/0;0/10,1/6,2/4
