Ident;X;Y;Transfers;InjectedTransfers;PodsHandled;PodHandlingTimeAvg;PodHandlingTimeVar;PodHandlingTimeMin;PodHandlingTimeMax;PileOn;IdleTime;UpTime
InputStation0;0.50;12.50;0;0;0;0;0;0;0;0;7200;0
OutputStation0;45.50;3.50;70;0;48;16.4673087193901;68.0401761827509;10.0444444444445;51.8503751656513;1.45833333333333;6508.14455066051;7200
OutputStation1;45.50;9.50;56;0;40;15.1678850168747;118.883370362684;10.0444444444444;62.1806493469683;1.4;6647.01928049241;7200
OutputStation2;45.50;15.50;56;0;43;14.9397108924393;44.4336312715475;10.0444444444445;41.8352505505167;1.30232558139535;6646.60697150845;7200
