Avg Turnover,Avg Throughput,Distance Travelling,Sim Completion
455.474887909294,971.472020956088,4390.77592275555,2112.23
464.498567184247,992.726102609022,4754.5733476877,2153.59
471.540710279112,1034.35590805398,4853.74518898953,2116.11
456.351099716348,974.204256143579,5006.55540079921,2176.57
474.343039046222,1039.27235099749,4684.4796522815,2221.03
