Ident;X;Y;Transfers;InjectedTransfers;PodsHandled;PodHandlingTimeAvg;PodHandlingTimeVar;PodHandlingTimeMin;PodHandlingTimeMax;PileOn;IdleTime;UpTime
InputStation0;0.50;12.50;0;0;0;0;0;0;0;0;7200;0
OutputStation0;55.50;3.50;10;0;9;10.3740019244109;0.510343772625257;10.0444444444444;12.2526839863648;1.11111111111111;7101.79379509747;7200
OutputStation1;55.50;9.50;6;0;5;10.4730187582825;0.651704730219804;10.0444444444444;11.9115728752539;1.2;7140.76463202727;7200
OutputStation2;55.50;15.50;4;0;3;10.8705242917513;2.04722374237938;10.0444444444445;12.5226839863649;1.33333333333333;7160.10953823586;7200
