#FromID;FromX;FromY;FromIsStorage;FromIsIStation;FromIsOStation;FromIsElevator;ToID;ToX;ToY;ToIsStorage;ToIsIStation;ToIsOStation;ToIsElevator;Count;TravelTimeAvg;TravelTimeVar;TravelTimeMin;TravelTimeMax
12;55.50;9.50;False;False;True;False;28;55.50;15.50;False;False;True;False;38;30.0079604600497;144.4910638628;19.1777777777776;73.9067604580796
12;55.50;9.50;False;False;True;False;203;42.50;1.50;True;False;False;False;1;22.7072222222225;0;22.7072222222225;22.7072222222225
12;55.50;9.50;False;False;True;False;309;12.50;5.50;True;False;False;False;2;36.3199319640542;1.42000327980094;35.4773160136352;37.1625479144732
12;55.50;9.50;False;False;True;False;377;12.50;7.50;True;False;False;False;1;36.1355555555551;0;36.1355555555551;36.1355555555551
12;55.50;9.50;False;False;True;False;383;18.50;7.50;True;False;False;False;1;49.0744444444449;0;49.0744444444449;49.0744444444449
12;55.50;9.50;False;False;True;False;491;24.50;10.50;True;False;False;False;1;27.8822222222223;0;27.8822222222223;27.8822222222223
12;55.50;9.50;False;False;True;False;508;41.50;10.50;True;False;False;False;1;16.8216666666666;0;16.8216666666666;16.8216666666666
12;55.50;9.50;False;False;True;False;527;26.50;11.50;True;False;False;False;1;29.5612947665297;0;29.5612947665297;29.5612947665297
12;55.50;9.50;False;False;True;False;629;26.50;14.50;True;False;False;False;1;35.6226461771622;0;35.6226461771622;35.6226461771622
12;55.50;9.50;False;False;True;False;642;39.50;14.50;True;False;False;False;1;28.045;0;28.045;28.045
12;55.50;9.50;False;False;True;False;683;12.50;16.50;True;False;False;False;1;42.7828715691908;0;42.7828715691908;42.7828715691908
12;55.50;9.50;False;False;True;False;809;36.50;19.50;True;False;False;False;1;29.162871569191;0;29.162871569191;29.162871569191
12;55.50;9.50;False;False;True;False;887;12.50;22.50;True;False;False;False;1;48.1627777777787;0;48.1627777777787;48.1627777777787
12;55.50;9.50;False;False;True;False;1028;17.50;26.50;True;False;False;False;1;48.512777777778;0;48.512777777778;48.512777777778
28;55.50;15.50;False;False;True;False;12;55.50;9.50;False;False;True;False;40;59.9058087058781;760.721038875929;18.80046569155;134.943878852234
28;55.50;15.50;False;False;True;False;685;14.50;16.50;True;False;False;False;1;35.1173160136354;0;35.1173160136354;35.1173160136354
28;55.50;15.50;False;False;True;False;786;13.50;19.50;True;False;False;False;1;55.6851875828268;0;55.6851875828268;55.6851875828268
28;55.50;15.50;False;False;True;False;889;14.50;22.50;True;False;False;False;1;42.8983333333338;0;42.8983333333338;42.8983333333338
