#TimeStamp;Bot;Pod;OutputStation
68.67;3;101;1
78.55;3;101;1
86.89;4;232;0
88.59;3;101;1
96.91;2;230;0
98.36;1;6;1
106.95;2;230;0
108.48;1;6;1
116.97;0;282;0
118.31;1;6;1
126.89;3;101;0
128.45;4;232;1
138.5;4;232;1
142.2;1;6;0
148.48;4;232;1
158.61;4;232;1
168.57;5;39;1
178.65;2;230;1
183.08;4;232;0
188.63;0;282;1
192.94;4;232;0
198.65;1;6;1
202.87;5;39;0
208.62;3;101;1
213.16;5;39;0
218.59;3;101;1
223.01;5;39;0
228.72;4;232;1
233.19;2;230;0
238.93;4;232;1
243.1;2;230;0
248.96;4;232;1
253.23;1;6;0
258.97;5;39;1
263.44;0;282;0
268.66;2;230;1
273.14;0;282;0
278.95;2;230;1
283.46;0;282;0
289.01;1;6;1
293.54;3;101;0
298.77;1;6;1
303.5;3;101;0
308.95;0;282;1
313.49;3;101;0
323.74;4;232;0
333.77;4;232;0
337.24;3;101;1
343.63;5;39;0
347.29;3;101;1
353.51;2;230;0
357.33;3;101;1
363.82;2;230;0
367.55;4;232;1
373.86;1;6;0
377.5;5;39;1
384.22;1;6;0
392.11;2;230;1
394.15;0;282;0
404.23;0;282;0
407.28;1;6;1
414.2;3;101;0
423.88;4;232;0
429.31;0;282;1
434.26;4;232;0
439.39;3;101;1
444.3;5;39;0
449.39;3;101;1
454.67;5;39;0
459.54;4;232;1
464.48;5;39;0
474.78;5;39;0
484.44;2;230;0
494.79;1;6;0
499.12;5;39;1
504.88;1;6;0
509.17;5;39;1
515.3;3;101;0
519.21;5;39;1
525.1;3;101;0
529.43;5;39;1
535.14;3;101;0
539.55;2;230;1
545.24;3;101;0
549.81;0;22;1
555.3;4;232;0
559.67;1;6;1
565.32;4;232;0
569.75;1;6;1
575.32;4;232;0
579.72;1;6;1
585.32;5;39;0
589.64;1;6;1
595.37;5;39;0
599.71;3;101;1
605.75;2;230;0
609.71;4;232;1
615.56;0;22;0
625.77;0;22;0
631.37;5;39;1
635.53;1;6;0
641.16;5;39;1
645.62;3;101;0
651.08;0;22;1
661.44;1;6;1
671.49;3;101;1
671.91;5;39;0
681.91;5;39;0
691.89;5;39;0
702.09;0;22;0
702.14;4;24;1
712.15;1;6;0
712.15;4;24;1
722.08;3;101;0
722.2;4;24;1
732.16;2;212;0
732.62;5;39;1
742.21;2;212;0
742.72;1;6;1
752.28;4;24;0
752.57;3;101;1
762.29;4;24;0
762.75;3;101;1
772.37;1;6;0
772.42;2;212;1
782.26;5;39;0
782.46;2;212;1
792.31;3;101;0
792.83;0;22;1
802.89;4;24;1
807.49;2;212;0
812.99;4;24;1
819.72;0;22;0
823.04;4;24;1
833.4;4;24;1
843.03;5;39;1
853.41;3;101;1
857.61;4;24;0
863.32;2;212;1
870.24;5;39;0
873.46;2;212;1
883.19;2;212;1
893.37;1;6;1
894.62;3;101;0
903.59;0;22;1
904.36;3;101;0
913.63;4;24;1
914.5;3;101;0
923.68;4;24;1
924.64;3;101;0
933.95;4;24;1
934.52;3;101;0
943.86;5;39;1
944.68;2;212;0
954.1;5;39;1
954.94;2;212;0
964.38;3;101;1
964.98;2;212;0
974.52;3;101;1
975.1;2;212;0
985.4;1;6;0
995.52;0;22;0
999.26;2;212;1
1005.83;4;24;0
1009.3;2;212;1
1016.13;5;39;0
1019.29;1;6;1
1026.29;3;101;0
1029.62;1;6;1
1036.62;3;101;0
1039.66;0;22;1
1047.04;3;101;0
1049.6;4;24;1
1057.36;3;101;0
1059.39;4;24;1
1067.24;3;101;0
1069.7;5;39;1
1077.43;2;212;0
1079.75;5;39;1
1087.37;2;212;0
1089.72;5;39;1
1097.46;2;212;0
1099.54;5;39;1
1107.13;2;212;0
1109.75;5;39;1
1117.43;2;212;0
1119.9;3;101;1
1127.32;1;6;0
1129.85;3;101;1
1137.52;0;22;0
1139.92;3;101;1
1147.94;4;24;0
1149.97;2;212;1
1158.09;4;24;0
1160;2;212;1
1168.23;3;101;0
1169.77;2;212;1
1178.4;3;101;0
1180;2;212;1
1188.41;3;101;0
1189.73;1;6;1
1200;1;6;1
1203.93;2;212;0
1210.01;0;22;1
1214.12;2;212;0
1220.09;0;22;1
1223.98;2;212;0
1230.13;3;101;1
1234.17;2;212;0
1240.55;3;101;1
1244.02;2;212;0
1250.83;4;27;1
1254.02;2;212;0
1260.97;4;27;1
1263.95;2;212;0
1271.29;4;27;1
1274.01;5;31;0
1284.26;1;6;0
1288.15;2;212;1
1294.1;1;6;0
1299.39;5;31;1
1304.24;0;22;0
1309.53;5;31;1
1314.31;3;101;0
1319.69;5;31;1
1324.09;4;27;0
1329.89;5;31;1
1334.35;4;27;0
1339.57;1;6;1
1344.58;2;212;0
1349.98;1;6;1
1354.66;2;212;0
1360;1;6;1
1364.58;2;212;0
1370.28;1;6;1
1374.58;5;31;0
1380.42;1;6;1
1384.38;5;31;0
1390.63;1;6;1
1400.54;1;6;1
1410.5;0;22;1
1420.63;3;101;1
1430.31;3;101;1
1435;0;22;0
1440.42;3;101;1
1450.66;4;27;1
1460.46;4;27;1
1470.64;4;27;1
1480.51;2;212;1
1490.7;0;22;1
1496.01;1;221;0
1500.8;5;183;1
1506.15;1;221;0
1516.57;1;221;0
1526.99;1;221;0
1536.99;2;212;0
1546.96;2;212;0
1549.8;1;221;1
1556.98;3;259;0
1567.15;5;183;0
1577.49;5;183;0
1580;3;259;1
1587.33;5;183;0
1597.3;5;183;0
1607.54;0;22;0
1617.61;0;22;0
1621.14;5;183;1
