#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
1679.65;0;155;0;2;0/1679.65;0/285.03,1/389.22;0/0;0/1679.65,1/1679.65;0/0;0/28,1/31;0/0;0/31,1/31;0/0;0/0,1/0;0/0;0/78,1/77;0/0;0/142,1/132
1739.85;0;158;0;2;0/1739.85;0/286.6,1/424.12;0/0;0/1739.85,1/1739.85;0/0;0/27,1/33;0/0;0/31,1/33;0/0;0/0,1/0;0/0;0/80,1/78;0/0;0/148,1/134
1799.97;0;161;0;2;0/1799.97;0/287.97,1/469.21;0/0;0/1799.97,1/1799.97;0/0;0/31,1/27;0/0;0/33,1/31;0/0;0/0,1/0;0/0;0/82,1/79;0/0;0/154,1/136
1859.89;0;166;0;2;0/1859.89;0/299.74,1/469.98;0/0;0/1859.89,1/1859.89;0/0;0/34,1/20;0/0;0/35,1/25;0/0;0/0,1/0;0/0;0/85,1/81;0/0;0/159,1/142
1919.95;0;170;0;2;0/1919.95;0/328.06,1/471.88;0/0;0/1919.95,1/1919.95;0/0;0/38,1/30;0/0;0/39,1/34;0/0;0/0,1/0;0/0;0/86,1/84;0/0;0/162,1/148
1979.69;0;176;0;2;0/1979.69;0/368.03,1/473.49;0/0;0/1979.69,1/1979.69;0/0;0/33,1/32;0/0;0/37,1/34;0/0;0/0,1/0;0/0;0/88,1/88;0/0;0/164,1/154
2039.86;0;184;0;2;0/2039.86;0/389.11,1/490.38;0/0;0/2039.86,1/2039.86;0/0;0/34,1/34;0/0;0/36,1/37;0/0;0/0,1/0;0/0;0/92,1/92;0/0;0/168,1/158
2099.58;0;187;0;2;0/2099.58;0/409.63,1/491.99;0/0;0/2099.58,1/2099.58;0/0;0/34,1/28;0/0;0/35,1/33;0/0;0/0,1/0;0/0;0/94,1/93;0/0;0/172,1/164
2159.63;0;193;0;2;0/2159.63;0/451,1/493.38;0/0;0/2159.63,1/2159.63;0/0;0/29,1/34;0/0;0/33,1/36;0/0;0/0,1/0;0/0;0/96,1/97;0/0;0/174,1/170
2219.96;0;198;0;2;0/2219.96;0/452.73,1/511.2;0/0;0/2219.96,1/2219.96;0/0;0/28,1/36;0/0;0/33,1/37;0/0;0/0,1/0;0/0;0/98,1/100;0/0;0/180,1/174
2279.58;0;201;0;2;0/2279.58;0/454.6,1/560.86;0/0;0/2279.58,1/2279.58;0/0;0/32,1/34;0/0;0/36,1/36;0/0;0/0,1/0;0/0;0/100,1/101;0/0;0/186,1/175
2339.78;0;205;0;2;0/2339.78;0/456.78,1/567.99;0/0;0/2339.78,1/2339.78;0/0;0/34,1/30;0/0;0/37,1/33;0/0;0/0,1/0;0/0;0/102,1/103;0/0;0/192,1/181
2399.87;0;212;0;2;0/2399.87;0/458.26,1/569.27;0/0;0/2399.87,1/2399.87;0/0;0/33,1/27;0/0;0/34,1/30;0/0;0/0,1/0;0/0;0/106,1/106;0/0;0/198,1/187
2459.84;0;214;0;2;0/2459.84;0/505.56,1/571.12;0/0;0/2459.84,1/2459.84;0/0;0/41,1/26;0/0;0/42,1/30;0/0;0/0,1/0;0/0;0/106,1/108;0/0;0/199,1/193
2519.92;0;220;0;2;0/2519.92;0/527.19,1/572.27;0/0;0/2519.92,1/2519.92;0/0;0/39,1/29;0/0;0/42,1/30;0/0;0/0,1/0;0/0;0/108,1/112;0/0;0/203,1/199
2579.86;0;223;0;2;0/2579.86;0/547.33,1/574.26;0/0;0/2579.86,1/2579.86;0/0;0/42,1/31;0/0;0/44,1/34;0/0;0/0,1/0;0/0;0/110,1/113;0/0;0/207,1/205
2639.71;0;226;0;2;0/2639.71;0/558.36,1/576.09;0/0;0/2639.71,1/2639.71;0/0;0/45,1/27;0/0;0/46,1/31;0/0;0/0,1/0;0/0;0/112,1/114;0/0;0/212,1/211
2699.89;0;230;0;2;0/2699.89;0/564.93,1/578.29;0/0;0/2699.89,1/2699.89;0/0;0/48,1/27;0/0;0/50,1/30;0/0;0/0,1/0;0/0;0/114,1/116;0/0;0/218,1/217
2759.99;0;234;0;2;0/2759.99;0/576.37,1/579.49;0/0;0/2759.99,1/2759.99;0/0;0/44,1/29;0/0;0/45,1/33;0/0;0/0,1/0;0/0;0/116,1/118;0/0;0/223,1/223
2819.74;0;241;0;2;0/2819.74;0/578.15,1/580.39;0/0;0/2819.74,1/2819.74;0/0;0/43,1/32;0/0;0/45,1/34;0/0;0/0,1/0;0/0;0/119,1/122;0/0;0/229,1/228
2879.8;0;247;0;2;0/2879.8;0/609.64,1/585.03;0/0;0/2879.8,1/2879.8;0/0;0/40,1/29;0/0;0/42,1/31;0/0;0/0,1/0;0/0;0/122,1/125;0/0;0/232,1/234
2939.76;0;252;0;2;0/2939.76;0/622.75,1/601.23;0/0;0/2939.76,1/2939.76;0/0;0/33,1/30;0/0;0/38,1/31;0/0;0/0,1/0;0/0;0/124,1/128;0/0;0/236,1/238
2999.86;0;258;0;2;0/2999.86;0/624.16,1/629.31;0/0;0/2999.86,1/2999.86;0/0;0/34,1/29;0/0;0/38,1/30;0/0;0/0,1/0;0/0;0/127,1/131;0/0;0/242,1/242
3059.83;0;265;0;2;0/3059.83;0/625.81,1/630.65;0/0;0/3059.83,1/3059.83;0/0;0/44,1/20;0/0;0/45,1/24;0/0;0/0,1/0;0/0;0/132,1/133;0/0;0/248,1/248
3119.93;0;271;0;2;0/3119.93;0/656.41,1/632.56;0/0;0/3119.93,1/3119.93;0/0;0/39,1/25;0/0;0/42,1/27;0/0;0/0,1/0;0/0;0/134,1/137;0/0;0/251,1/254
3179.8;0;278;0;2;0/3179.8;0/659.69,1/646.29;0/0;0/3179.8,1/3179.8;0/0;0/37,1/21;0/0;0/39,1/25;0/0;0/0,1/0;0/0;0/137,1/141;0/0;0/257,1/258
3239.73;0;283;0;2;0/3239.73;0/691.16,1/647.14;0/0;0/3239.73,1/3239.73;0/0;0/38,1/14;0/0;0/39,1/19;0/0;0/0,1/0;0/0;0/140,1/143;0/0;0/260,1/264
3299.75;0;291;0;2;0/3299.75;0/697.24,1/649;0/0;0/3299.75,1/3299.75;0/0;0/36,1/21;0/0;0/38,1/24;0/0;0/0,1/0;0/0;0/144,1/147;0/0;0/265,1/270
3359.96;0;299;0;2;0/3359.96;0/698.01,1/654.71;0/0;0/3359.96,1/3359.96;0/0;0/30,1/23;0/0;0/32,1/27;0/0;0/0,1/0;0/0;0/147,1/152;0/0;0/271,1/276
3419.64;0;303;0;2;0/3419.64;0/711.3,1/656.47;0/0;0/3419.64,1/3419.64;0/0;0/25,1/27;0/0;0/27,1/30;0/0;0/0,1/0;0/0;0/149,1/154;0/0;0/276,1/282
3479.8;0;309;0;2;0/3479.8;0/720.74,1/658.22;0/0;0/3479.8,1/3479.8;0/0;0/23,1/27;0/0;0/25,1/30;0/0;0/0,1/0;0/0;0/152,1/157;0/0;0/281,1/288
3540;0;313;0;2;0/3540;0/722.7,1/660.13;0/0;0/3540,1/3540;0/0;0/20,1/33;0/0;0/22,1/35;0/0;0/0,1/0;0/0;0/153,1/160;0/0;0/287,1/294
3599.62;0;319;0;2;0/3599.62;0/724.01,1/661.36;0/0;0/3599.62,1/3599.62;0/0;0/21,1/30;0/0;0/23,1/33;0/0;0/0,1/0;0/0;0/156,1/163;0/0;0/293,1/300
3659.85;0;329;0;2;0/3659.85;0/741.64,1/665.38;0/0;0/3659.85,1/3659.85;0/0;0/20,1/32;0/0;0/22,1/36;0/0;0/0,1/0;0/0;0/161,1/168;0/0;0/297,1/305
3719.82;0;335;0;2;0/3719.82;0/752.45,1/666.97;0/0;0/3719.82,1/3719.82;0/0;0/23,1/29;0/0;0/24,1/33;0/0;0/0,1/0;0/0;0/164,1/171;0/0;0/302,1/311
3779.84;0;342;0;2;0/3779.84;0/772.93,1/668.18;0/0;0/3779.84,1/3779.84;0/0;0/22,1/34;0/0;0/25,1/36;0/0;0/0,1/0;0/0;0/167,1/175;0/0;0/307,1/317
3839.7;0;345;0;2;0/3839.7;0/774.87,1/695.28;0/0;0/3839.7,1/3839.7;0/0;0/27,1/33;0/0;0/32,1/33;0/0;0/0,1/0;0/0;0/168,1/177;0/0;0/312,1/320
3899.9;0;349;0;2;0/3899.9;0/777.57,1/750.97;0/0;0/3899.9,1/3899.9;0/0;0/29,1/30;0/0;0/33,1/32;0/0;0/0,1/0;0/0;0/171,1/178;0/0;0/318,1/321
3959.99;0;354;0;2;0/3959.99;0/787.15,1/766.67;0/0;0/3959.99,1/3959.99;0/0;0/30,1/30;0/0;0/34,1/32;0/0;0/0,1/0;0/0;0/173,1/181;0/0;0/323,1/325
4019.98;0;361;0;2;0/4019.98;0/790.91,1/767.61;0/0;0/4019.98,1/4019.98;0/0;0/28,1/29;0/0;0/31,1/32;0/0;0/0,1/0;0/0;0/177,1/184;0/0;0/329,1/331
4079.88;0;367;0;2;0/4079.88;0/792.76,1/784.81;0/0;0/4079.88,1/4079.88;0/0;0/26,1/27;0/0;0/31,1/27;0/0;0/0,1/0;0/0;0/179,1/188;0/0;0/335,1/336
4139.65;0;368;0;2;0/4139.65;0/794.22,1/827.02;0/0;0/4139.65,1/4139.65;0/0;0/24,1/28;0/0;0/29,1/29;0/0;0/0,1/0;0/0;0/180,1/188;0/0;0/341,1/337
4199.91;0;373;0;2;0/4199.91;0/795.78,1/834.94;0/0;0/4199.91,1/4199.91;0/0;0/23,1/21;0/0;0/26,1/23;0/0;0/0,1/0;0/0;0/183,1/190;0/0;0/347,1/343
4259.66;0;379;0;2;0/4259.66;0/797.62,1/836.96;0/0;0/4259.66,1/4259.66;0/0;0/29,1/26;0/0;0/32,1/27;0/0;0/0,1/0;0/0;0/185,1/194;0/0;0/353,1/349
4319.83;0;384;0;2;0/4319.83;0/799.02,1/849.98;0/0;0/4319.83,1/4319.83;0/0;0/24,1/23;0/0;0/26,1/25;0/0;0/0,1/0;0/0;0/189,1/195;0/0;0/359,1/353
4379.66;0;388;0;2;0/4379.66;0/800.28,1/880.44;0/0;0/4379.66,1/4379.66;0/0;0/17,1/19;0/0;0/20,1/21;0/0;0/0,1/0;0/0;0/190,1/198;0/0;0/365,1/357
4439.75;0;393;0;2;0/4439.75;0/805.98,1/914.93;0/0;0/4439.75,1/4439.75;0/0;0/17,1/18;0/0;0/17,1/22;0/0;0/0,1/0;0/0;0/193,1/200;0/0;0/370,1/359
4499.6;0;398;0;2;0/4499.6;0/852.68,1/916.89;0/0;0/4499.6,1/4499.6;0/0;0/13,1/19;0/0;0/15,1/22;0/0;0/0,1/0;0/0;0/195,1/203;0/0;0/372,1/365
4559.65;0;404;0;2;0/4559.65;0/867.46,1/919.24;0/0;0/4559.65,1/4559.65;0/0;0/23,1/30;0/0;0/27,1/32;0/0;0/0,1/0;0/0;0/198,1/206;0/0;0/376,1/371
4619.95;0;411;0;2;0/4619.95;0/873.84,1/934.8;0/0;0/4619.95,1/4619.95;0/0;0/27,1/32;0/0;0/30,1/34;0/0;0/0,1/0;0/0;0/202,1/209;0/0;0/382,1/375
4679.99;0;417;0;2;0/4679.99;0/899,1/945.17;0/0;0/4679.99,1/4679.99;0/0;0/35,1/29;0/0;0/38,1/31;0/0;0/0,1/0;0/0;0/205,1/212;0/0;0/385,1/381
4739.64;0;421;0;2;0/4739.64;0/917.7,1/965.82;0/0;0/4739.64,1/4739.64;0/0;0/29,1/36;0/0;0/33,1/37;0/0;0/0,1/0;0/0;0/207,1/214;0/0;0/390,1/384
4799.77;0;424;0;2;0/4799.77;0/919.35,1/1016.24;0/0;0/4799.77,1/4799.77;0/0;0/31,1/36;0/0;0/33,1/39;0/0;0/0,1/0;0/0;0/209,1/215;0/0;0/396,1/385
4859.83;0;431;0;2;0/4859.83;0/939.11,1/1019.26;0/0;0/4859.83,1/4859.83;0/0;0/34,1/32;0/0;0/35,1/36;0/0;0/0,1/0;0/0;0/213,1/218;0/0;0/400,1/391
4919.78;0;435;0;2;0/4919.78;0/952.41,1/1020.41;0/0;0/4919.78,1/4919.78;0/0;0/36,1/29;0/0;0/37,1/34;0/0;0/0,1/0;0/0;0/215,1/220;0/0;0/404,1/397
4979.73;0;441;0;2;0/4979.73;0/983.14,1/1021.77;0/0;0/4979.73,1/4979.73;0/0;0/31,1/31;0/0;0/34,1/34;0/0;0/0,1/0;0/0;0/217,1/224;0/0;0/407,1/403
5039.82;0;448;0;2;0/5039.82;0/986.03,1/1023.02;0/0;0/5039.82,1/5039.82;0/0;0/35,1/29;0/0;0/36,1/34;0/0;0/0,1/0;0/0;0/221,1/227;0/0;0/413,1/409
5099.98;0;456;0;2;0/5099.98;0/987.67,1/1024.53;0/0;0/5099.98,1/5099.98;0/0;0/30,1/30;0/0;0/32,1/34;0/0;0/0,1/0;0/0;0/225,1/231;0/0;0/419,1/415
5159.85;0;461;0;2;0/5159.85;0/989.88,1/1026.25;0/0;0/5159.85,1/5159.85;0/0;0/30,1/24;0/0;0/30,1/30;0/0;0/0,1/0;0/0;0/228,1/233;0/0;0/425,1/421
5219.88;0;466;0;2;0/5219.88;0/1018,1/1027.88;0/0;0/5219.88,1/5219.88;0/0;0/31,1/30;0/0;0/33,1/34;0/0;0/0,1/0;0/0;0/230,1/236;0/0;0/428,1/427
5279.83;0;472;0;2;0/5279.83;0/1020.68,1/1028.58;0/0;0/5279.83,1/5279.83;0/0;0/24,1/29;0/0;0/27,1/32;0/0;0/0,1/0;0/0;0/232,1/240;0/0;0/434,1/433
