#TimeStamp;Bot;Pod;OutputStation
1771.19;1;76;1
1777.96;2;94;0
1781.19;1;76;1
1787.96;2;94;0
1791.19;1;76;1
1797.96;2;94;0
1801.19;1;76;1
1807.96;2;94;0
1811.19;1;76;1
1817.96;2;94;0
1821.19;1;76;1
1827.96;2;94;0
1831.23;1;76;1
1837.96;2;94;0
1841.23;1;76;1
1847.96;2;94;0
1851.23;1;76;1
1858;0;10;0
1861.65;1;76;1
1868.19;0;10;0
1871.65;1;76;1
1878.61;0;10;0
1882.03;1;76;1
1888.8;0;10;0
1892.03;1;76;1
1899.03;0;10;0
1901.68;1;76;1
1909.45;0;10;0
1912.07;1;76;1
1919.64;0;10;0
1922.1;1;76;1
1929.64;0;10;0
1932.39;1;76;1
1939.64;0;10;0
1942.1;1;76;1
1949.64;0;10;0
1952.39;1;76;1
1959.61;0;10;0
1962.34;5;50;1
1969.62;4;168;0
1972.23;5;50;1
1979.91;4;168;0
1982.31;5;50;1
1989.64;4;168;0
1992.49;5;50;1
2000;4;168;0
2002.91;5;50;1
2010.06;4;168;0
2012.94;5;50;1
2020.42;4;168;0
2022.94;5;50;1
2030.48;4;168;0
2033.33;5;50;1
2040.42;4;168;0
2043.75;5;50;1
2050.56;4;168;0
2053.84;5;50;1
2060.42;4;168;0
2063.84;5;50;1
2070.84;4;168;0
2073.78;5;50;1
2080.84;4;168;0
2083.78;5;50;1
2091.26;4;168;0
2093.78;5;50;1
2101.26;4;168;0
2103.78;5;50;1
2111.45;4;168;0
2113.88;5;50;1
2121.49;3;68;0
2124.16;5;50;1
2131.68;3;68;0
2134.3;5;50;1
2142.1;3;68;0
2144.62;5;50;1
2152.29;3;68;0
2154.62;5;50;1
2162.1;3;68;0
2164.72;5;50;1
2172.29;3;68;0
2175.04;5;50;1
2182.29;3;68;0
2185.04;5;50;1
2192.52;3;68;0
2195.04;5;50;1
2202.71;3;68;0
2205.04;5;50;1
2212.94;3;68;0
2215.04;5;50;1
2223.13;3;68;0
2225.14;5;50;1
2233.13;3;68;0
2235.46;5;50;1
2243.13;3;68;0
2245.46;5;50;1
2253.13;3;68;0
2255.56;5;50;1
2263.13;3;68;0
2265.88;5;50;1
2273.17;1;76;0
2275.88;5;50;1
2283.07;1;76;0
2285.74;5;50;1
2293.17;1;76;0
2295.58;5;50;1
2303.13;1;76;0
2305.88;5;50;1
2315.84;2;94;1
2325.98;2;94;1
2329.91;5;50;0
2336.03;2;94;1
2340.3;5;50;0
2346.07;2;94;1
2350.72;5;50;0
2356.07;2;94;1
2361.14;5;50;0
2366.38;2;94;1
2371.45;5;50;0
2376.47;2;94;1
2381.26;5;50;0
2386.84;2;94;1
2391.19;5;50;0
2396.84;2;94;1
2401.49;5;50;0
2406.89;2;94;1
2411.6;5;50;0
2417.31;2;94;1
2421.61;5;50;0
2427.66;2;94;1
2431.6;5;50;0
2437.66;2;94;1
2441.61;5;50;0
2447.66;2;94;1
2451.6;5;50;0
2457.66;2;94;1
2461.61;5;50;0
2467.62;2;94;1
2477.39;2;94;1
2487.58;0;10;1
2497.73;0;10;1
2501.61;2;94;0
2508.15;0;10;1
2511.75;2;94;0
2518.36;0;10;1
2522.17;2;94;0
2528.36;0;10;1
2532.59;2;94;0
2538.36;0;10;1
2543.01;2;94;0
2548.42;4;168;1
2552.78;2;94;0
2558.57;4;168;1
2563.07;2;94;0
2568.99;4;168;1
2572.85;2;94;0
2579.41;4;168;1
2582.89;0;10;0
2589.45;4;168;1
2599.87;4;168;1
2609.7;4;168;1
2619.86;4;168;1
2629.58;4;168;1
2639.63;4;168;1
2649.63;4;168;1
2659.63;4;168;1
2669.96;3;68;1
2680.04;3;68;1
2683.91;4;168;0
2690.16;3;68;1
2693.93;4;168;0
2700.42;3;68;1
2703.97;4;168;0
2710.16;3;68;1
2714.35;4;168;0
2720.46;3;68;1
2724.35;4;168;0
2730.79;3;68;1
2740.84;3;68;1
2750.88;3;68;1
2761.26;3;68;1
2770.97;3;68;1
2781.16;1;76;1
2791.25;1;76;1
2795.19;3;68;0
2801.3;1;76;1
2805.19;3;68;0
2811.72;1;76;1
2815.33;3;68;0
2822.1;1;76;1
2825.75;3;68;0
2831.94;1;76;1
2836.17;3;68;0
2841.94;1;76;1
2846.49;3;68;0
2852;5;50;1
2856.35;3;68;0
2862.14;5;50;1
2866.45;3;68;0
2872.36;5;50;1
2876.49;3;68;0
2882.42;2;94;1
2886.35;3;68;0
2892.56;2;94;1
2896.3;1;76;0
2902.51;2;94;1
2906.59;1;76;0
2912.46;0;10;1
2917.01;1;76;0
2922.61;4;168;1
2927.21;1;76;0
2932.49;3;68;1
2937.33;5;50;0
2942.63;3;68;1
2947.26;5;50;0
2952.88;1;76;1
2957.32;2;94;0
2967.03;2;94;0
2975.96;0;41;1
2977.4;4;168;0
2986.06;0;41;1
2996.16;0;41;1
3006.2;0;41;1
3016.62;0;41;1
3026.99;0;41;1
3029.51;4;168;0
3037.41;0;41;1
3047.76;0;41;1
3057.52;0;41;1
3067.52;0;41;1
3077.52;0;41;1
3087.52;0;41;1
3097.52;0;41;1
3107.63;2;94;1
3117.52;2;94;1
3121.3;0;41;0
3127.83;2;94;1
3131.6;0;41;0
3138.21;2;94;1
3142.02;0;41;0
3148.19;1;76;1
3152.06;0;41;0
3158.13;1;76;1
3162.14;0;41;0
3168.25;1;76;1
3172.18;0;41;0
3178.25;1;76;1
3182.14;0;41;0
3188.3;1;76;1
3192.18;0;41;0
3198.67;1;76;1
3202.14;0;41;0
3208.67;1;76;1
3212.48;0;41;0
3218.67;1;76;1
3222.6;0;41;0
3228.67;1;76;1
3232.65;0;41;0
3238.57;5;50;1
3242.75;0;41;0
3248.72;3;44;1
3252.83;0;41;0
3258.95;3;44;1
3262.83;0;41;0
3269.04;3;44;1
3272.59;2;94;0
3279.22;3;44;1
3282.83;2;94;0
3289.14;3;44;1
3292.9;1;76;0
3299.37;3;44;1
3303.32;5;50;0
3309.79;3;44;1
3313.38;5;50;0
3319.92;3;44;1
3323.46;5;50;0
3330;3;44;1
3340;2;94;0
3340.42;3;44;1
3350.31;2;94;0
3350.79;3;44;1
3360.79;3;44;1
3370.65;3;44;1
3380.42;3;44;1
3390.5;3;44;1
3400.42;3;44;1
3410.84;3;44;1
3420.84;3;44;1
3430.92;3;44;1
3440.84;3;44;1
3450.92;3;44;1
3461.11;4;168;1
3471.2;4;168;1
3475.19;3;44;0
3481.11;0;41;1
3485.3;3;44;0
3491.23;1;76;1
3495.57;3;44;0
3500.98;5;50;1
3505.72;3;44;0
3511.24;5;50;1
3515.41;3;44;0
3521.29;5;50;1
3525.56;3;44;0
3531.32;5;50;1
3535.56;3;44;0
3541.68;5;50;1
3545.74;4;168;0
3551.87;2;94;1
3555.78;4;168;0
3562.13;2;94;1
3566.2;4;168;0
3572.02;0;38;1
3576.06;4;168;0
3582.18;0;38;1
3586.01;4;168;0
3592.56;0;38;1
3596.07;4;168;0
3602.6;0;38;1
3606.11;1;166;0
3612.34;0;38;1
3616.25;1;166;0
3622.56;0;38;1
3626.67;1;166;0
3632.56;0;38;1
3637.09;1;166;0
3642.56;0;38;1
3647.51;1;166;0
3652.5;3;44;1
3657.96;1;166;0
3662.34;3;44;1
3668;1;166;0
3672.65;3;44;1
3678.42;1;166;0
3682.73;3;44;1
3688.53;1;166;0
3692.73;3;44;1
3698.46;1;166;0
3702.87;4;168;1
3708.5;1;166;0
3718.75;1;166;0
3728.55;1;166;0
3738.7;1;166;0
3748.51;1;166;0
3758.51;1;166;0
3768.67;5;50;0
3778.76;5;50;0
3781.84;1;166;1
3788.81;5;50;0
3791.86;1;166;1
3798.83;5;50;0
3801.92;1;166;1
3808.85;5;50;0
3811.94;1;166;1
3818.69;2;94;0
3828.72;2;94;0
3838.88;2;94;0
3848.89;2;94;0
3858.95;0;38;0
3869.37;0;38;0
3871.16;1;75;1
3879.44;0;38;0
3889.86;0;38;0
3900;0;38;0
3909.88;0;38;0
3920;0;38;0
3929.95;0;38;0
3940;3;44;0
3950.28;3;44;0
3953.05;0;38;1
3960.42;3;44;0
3970.65;3;44;0
3981.07;3;44;0
3991.49;3;44;0
4001.68;3;44;0
4011.58;3;44;0
4021.68;3;44;0
4031.58;3;44;0
4041.68;3;44;0
4051.58;3;44;0
4061.68;3;44;0
4071.58;3;44;0
4081.75;4;168;0
4091.84;4;168;0
4094.91;3;44;1
4101.93;4;168;0
4104.96;3;44;1
4112.35;4;168;0
4115.29;3;44;1
4122.7;4;168;0
4125.29;3;44;1
4132.75;4;168;0
4142.52;4;168;0
4152.6;5;76;0
4162.79;1;75;0
4165.48;4;168;1
4172.73;1;75;0
4175.77;4;168;1
4182.84;1;75;0
4185.77;5;76;1
4192.82;1;75;0
4203.02;1;75;0
4213.09;1;75;0
4223.36;1;75;0
4233.02;2;94;0
4243.44;2;94;0
4253.54;2;94;0
4263.77;0;38;0
4273.71;0;38;0
4283.71;0;38;0
4293.57;3;44;0
4303.86;3;44;0
4313.86;3;44;0
4323.95;3;44;0
4334.05;4;168;0
4344;4;168;0
4354.25;5;76;0
4364.3;5;76;0
4374.65;1;50;0
4384.5;1;50;0
4394.62;2;104;0
4404.72;2;104;0
4415.05;0;38;0
4425.14;0;38;0
4428.6;2;104;1
4435.39;0;38;0
4438.88;2;104;1
4445.26;3;83;0
4448.81;2;104;1
4455.6;3;83;0
4465.64;3;83;0
4476.02;3;83;0
4486.44;3;83;0
4496.52;3;83;0
4506.31;3;83;0
4516.29;3;83;0
4526.29;3;83;0
4536.29;3;83;0
4546.29;3;83;0
4556.29;3;83;0
4566.37;4;61;0
4576.63;4;61;0
4579.3;3;83;1
4586.91;4;61;0
4589.43;3;83;1
4597.33;4;61;0
4599.58;3;83;1
4607.75;4;61;0
4610;3;83;1
4618.17;4;61;0
4620.42;3;83;1
4628.19;4;61;0
4630.84;3;83;1
4638.59;4;61;0
4640.84;3;83;1
4648.61;4;61;0
4651.11;3;83;1
4659.01;4;61;0
4660.84;3;83;1
4669.43;4;61;0
4679.72;4;61;0
4689.45;4;61;0
4699.51;4;61;0
4709.51;4;61;0
4719.51;4;61;0
4729.51;4;61;0
4739.51;4;61;0
4749.51;4;61;0
4759.51;4;61;0
4769.51;4;61;0
4779.51;4;61;0
4789.51;4;61;0
4799.85;4;61;0
4809.66;4;61;0
4819.66;4;61;0
4829.66;4;61;0
4839.66;4;61;0
4849.66;4;61;0
4859.66;4;61;0
4869.83;5;44;0
4880;5;44;0
4882.76;4;61;1
4889.97;5;44;0
4893.04;4;61;1
4900;5;44;0
4903.37;4;61;1
4910.34;5;44;0
4913.43;4;61;1
4920;5;44;0
4923.43;4;61;1
4930.36;5;44;0
4933.45;4;61;1
4940;1;69;0
4943.57;4;61;1
4950.41;1;69;0
4953.51;4;61;1
4960.46;1;69;0
4963.82;4;61;1
4970.88;1;69;0
4973.82;4;61;1
4980.88;1;69;0
4983.83;5;44;1
4991.33;1;69;0
4993.7;5;44;1
5001.68;1;69;0
5011.75;1;69;0
5022.17;1;69;0
5032.59;1;69;0
5043.01;1;69;0
5053.1;1;69;0
5063.36;1;69;0
5073.1;1;69;0
5083.36;1;69;0
5093.1;1;69;0
5103.36;1;69;0
5113.1;1;69;0
5123.36;1;69;0
5133.1;1;69;0
5143.36;1;69;0
5153.1;1;69;0
5163.36;1;69;0
5173.1;1;69;0
5183.36;1;69;0
5193.27;0;50;0
5203.43;0;50;0
5206.2;1;69;1
5213.4;0;50;0
5216.32;1;69;1
5223.4;0;50;0
5226.47;1;69;1
5233.61;2;104;0
5236.8;1;69;1
5243.82;2;104;0
5246.85;1;69;1
5253.97;2;104;0
5256.97;1;69;1
5264.39;2;104;0
5267.33;1;69;1
5274.74;2;104;0
5277.33;1;69;1
5284.74;2;104;0
5287.33;1;69;1
5294.74;2;104;0
5297.39;1;69;1
5304.62;3;83;0
5307.57;1;69;1
5314.82;3;83;0
5317.62;1;69;1
5325.24;3;83;0
5327.76;1;69;1
5335.58;3;83;0
5337.76;1;69;1
5345.58;3;83;0
5347.76;1;69;1
5355.66;3;83;0
5357.76;1;69;1
5365.98;3;83;0
5367.66;0;50;1
5376.08;3;83;0
5377.56;2;104;1
5386.18;3;83;0
5387.81;2;104;1
5396.05;3;83;0
5398.23;2;104;1
5406.35;4;61;0
5408.67;2;104;1
5416.42;4;61;0
5418.51;2;104;1
5426.88;4;61;0
5428.56;2;104;1
5437.16;4;61;0
5438.51;3;83;1
5447.24;5;44;0
5448.8;3;83;1
5457.3;1;69;0
5462.49;4;61;1
5467.25;1;69;0
5472.76;4;61;1
5477.27;1;69;0
5483.18;4;61;1
5487.27;1;69;0
5497.36;1;69;0
5507.43;0;75;0
5517.48;2;104;0
5520.57;1;69;1
5527.24;2;104;0
5530.57;1;69;1
5537.12;2;104;0
5540.57;1;69;1
5547.26;3;83;0
5557.52;5;44;0
5567.54;5;44;0
5577.22;5;44;0
5587.5;4;61;0
5597.22;4;61;0
5607.57;0;75;0
5617.59;1;69;0
5627.63;2;38;0
5637.68;3;83;0
5648.1;3;83;0
5652.36;2;38;1
5657.76;3;83;0
5663.91;1;166;1
5667.97;5;138;0
5674.3;1;166;1
5678.17;5;138;0
5684.42;1;166;1
5688.35;5;138;0
5694.71;1;166;1
5698.43;5;138;0
5704.35;2;38;1
5708.69;5;138;0
5718.62;5;138;0
5728.44;5;138;0
5738.66;4;111;0
5748.85;4;111;0
5751.59;5;138;1
5759.19;4;111;0
5761.86;5;138;1
5769.21;4;111;0
5772.13;5;138;1
5779.21;4;111;0
5782.1;5;138;1
5789.61;4;111;0
5792.28;5;138;1
5800.04;4;111;0
5802.56;5;138;1
5810.05;4;111;0
5812.56;5;138;1
5820.46;4;111;0
5822.7;5;138;1
5830.47;4;111;0
5832.98;5;138;1
5840.88;4;111;0
5842.98;5;138;1
5851.3;4;111;0
5852.98;5;138;1
5861.68;4;111;0
5862.98;5;138;1
5871.31;4;111;0
5872.98;5;138;1
5881.68;4;111;0
5891.72;4;111;0
5901.79;4;111;0
5911.81;4;111;0
5922.1;4;111;0
5931.81;4;111;0
5942.1;4;111;0
5951.81;4;111;0
5962.1;4;111;0
5971.81;4;111;0
5982.1;4;111;0
5991.81;4;111;0
6002.1;4;111;0
6011.81;4;111;0
6022.1;4;111;0
6032.14;4;111;0
6042.52;4;111;0
6052.23;4;111;0
6062.56;4;111;0
6072.65;4;111;0
6082.94;4;111;0
6092.82;0;167;0
6102.98;0;167;0
6105.75;4;111;1
6112.95;0;167;0
6116.02;4;111;1
6123.16;1;166;0
6126.36;4;111;1
6133.37;1;166;0
6136.4;4;111;1
6143.52;1;166;0
6146.52;4;111;1
6153.87;1;166;0
6156.88;4;111;1
6163.87;1;166;0
6166.88;4;111;1
6173.87;1;166;0
6176.88;4;111;1
6183.87;1;166;0
6186.94;4;111;1
6193.75;3;83;0
6196.94;4;111;1
6203.94;3;83;0
6206.79;4;111;1
6214.34;3;83;0
6216.9;4;111;1
6224.38;3;83;0
6226.9;4;111;1
6234.76;3;83;0
6236.9;4;111;1
6244.76;3;83;0
6246.9;4;111;1
6254.76;3;83;0
6256.9;4;111;1
6264.61;2;38;0
6266.66;4;111;1
6274.8;5;138;0
6276.99;4;111;1
6285.26;5;138;0
6287.26;4;111;1
6295.72;5;138;0
6297.24;4;111;1
6306.14;5;138;0
6307.37;0;167;1
6316.56;5;138;0
6317.41;0;167;1
6326.98;5;138;0
6327.86;0;167;1
6337.4;5;138;0
6338.28;0;167;1
6347.53;5;138;0
6348.7;0;167;1
6357.53;5;138;0
6359.08;0;167;1
6367.53;5;138;0
6369.12;0;167;1
6377.53;5;138;0
6379.54;0;167;1
6387.53;5;138;0
6389.92;0;167;1
6397.53;5;138;0
6399.92;0;167;1
6407.53;5;138;0
6409.92;0;167;1
6417.82;5;138;0
6419.92;0;167;1
6427.95;5;138;0
6429.92;0;167;1
6437.95;5;138;0
6439.92;0;167;1
6448.14;5;138;0
6449.96;1;166;1
6458.08;5;138;0
6460;1;166;1
6468.08;5;138;0
6469.92;1;166;1
6478.08;5;138;0
6480;1;166;1
6488.14;5;138;0
6489.88;3;83;1
6497.83;5;138;0
6500.1;3;83;1
6508.05;4;111;0
6510.38;3;83;1
6518.24;4;111;0
6520.42;3;83;1
6528.5;4;111;0
6530.34;3;83;1
6538.66;4;111;0
6540.42;2;38;1
6548.67;4;111;0
6550.52;2;38;1
6559.03;4;111;0
6560.42;2;38;1
6569.03;4;111;0
6570.34;2;38;1
6578.94;4;111;0
6580.3;5;138;1
6588.88;4;111;0
6590.63;5;138;1
6599.03;4;111;0
6600.84;5;138;1
6608.89;0;167;0
6610.93;5;138;1
6619.08;0;167;0
6620.93;5;138;1
6629.12;0;167;0
6630.8;5;138;1
6639.45;0;167;0
6640.85;5;138;1
6649.35;1;166;0
6650.76;5;138;1
6659.52;3;83;0
6660.9;4;111;1
6669.49;2;38;0
6670.82;0;167;1
6679.56;2;38;0
6680.89;0;167;1
6689.76;5;138;0
6691.05;0;167;1
6699.69;5;138;0
6701.25;0;167;1
6709.6;5;138;0
6711.3;1;166;1
6719.85;3;61;0
6724.65;4;69;1
6729.94;3;61;0
6734.69;4;69;1
6739.99;3;61;0
6750.03;3;61;0
6760.1;3;61;0
6770.21;3;61;0
6780.42;3;61;0
6790.27;0;167;0
6800.45;0;167;0
6803.21;3;61;1
6810.46;0;167;0
6820.48;1;166;0
6830.24;2;19;0
6833.57;0;167;1
6840.53;2;19;0
6848.38;3;10;1
6850.95;2;19;0
6858.45;3;10;1
6861.38;2;19;0
6868.87;3;10;1
6871.8;2;19;0
6878.72;3;10;1
6881.96;2;19;0
6888.61;3;10;1
6892.01;2;19;0
6900.42;0;167;1
6902.42;2;19;0
6910.47;0;167;1
6912.2;2;19;0
6922.2;2;19;0
6932.15;2;19;0
6942.17;5;138;0
6952.46;5;138;0
6955.11;2;19;1
6962.31;5;138;0
6965.23;2;19;1
6972.36;5;138;0
6982.52;5;138;0
6992.44;5;138;0
7002.32;5;138;0
7012.52;4;69;0
7022.71;4;69;0
7025.53;5;138;1
7032.93;4;69;0
7042.73;4;69;0
7043.06;2;61;1
7053.06;1;124;0
7063.1;1;124;0
7073.52;1;124;0
7083.87;1;124;0
7093.55;1;124;0
7102.62;4;69;1
7103.75;3;10;0
7113.94;3;10;0
7116.68;1;124;1
7123.89;3;10;0
7126.96;1;124;1
7133.93;3;10;0
7137;1;124;1
7143.81;0;167;0
7153.88;0;167;0
7157;3;10;1
7163.94;0;167;0
7173.89;5;138;0
7184;2;61;0
7187.18;0;167;1
7194;4;69;0
7205.39;3;76;0
7206.15;1;96;1
7216.29;1;96;1
7226.5;1;96;1
7234.69;5;149;0
7236.58;1;96;1
7244.73;5;149;0
7246.86;1;96;1
7254.75;5;149;0
7256.79;2;61;1
7264.9;5;149;0
7266.88;2;61;1
7275.15;5;149;0
7276.73;0;24;1
7285.55;5;149;0
7286.81;0;24;1
7295.61;5;149;0
7297;0;24;1
7305.75;5;149;0
7307.42;0;24;1
7315.83;5;149;0
7317.84;0;24;1
7325.96;5;149;0
7328.28;0;24;1
7335.85;5;149;0
7338.7;0;24;1
7345.72;5;149;0
7348.94;0;24;1
7356.02;3;159;0
7359;0;24;1
7366.42;3;159;0
7369.04;0;24;1
7376.84;3;159;0
7379.36;0;24;1
7387.03;3;159;0
7389.46;0;24;1
7397.26;3;159;0
7399.78;0;24;1
7407.68;3;159;0
7409.78;0;24;1
7417.87;3;159;0
7419.78;0;24;1
7427.87;3;159;0
7429.78;0;24;1
7438.1;3;159;0
7439.78;0;24;1
7448.29;3;159;0
7449.78;0;24;1
7458.29;3;159;0
7459.78;0;24;1
7468.29;3;159;0
7469.78;0;24;1
7478.29;3;159;0
7479.78;0;24;1
7488.29;3;159;0
7489.78;0;24;1
7498.29;3;159;0
7499.78;0;24;1
7508.29;3;159;0
7509.78;0;24;1
7518.39;1;96;0
7519.87;4;69;1
