Avg Turnover,Avg Throughput,Distance Travelling,Sim Completion
1_6
455.474887909294,971.472020956088,4390.77592275555,2112.23
464.498567184247,992.726102609022,4754.5733476877,2153.59
471.540710279112,1034.35590805398,4853.74518898953,2116.11
456.351099716348,974.204256143579,5006.55540079921,2176.57
474.343039046222,1039.27235099749,4684.4796522815,2221.03
464.4416608270446,1002.4061277520319,4738.025902502699,2155.906
8.577546673437714,32.50336247982102,228.70429161347974,45.179682159129946

2_12
417.68329941902,886.689843621256,13833.5735837179,1923.87
423.2861344933,890.540798968772,14752.159513921,1986.5
404.665034195506,848.918756721618,14134.9424645058,1871.53
423.2861344933,890.540798968772,14752.159513921,1986.5
414.825042123235,871.158695592728,14271.443212153,1941.44
440.5953948859584,939.9879532633306,9543.440780073219,2048.937
26.282242071266946,70.29130870867635,5074.685750811152,121.03443523321056

3-18
417.283515667105,625.389212886317,13589.3780121096,1414.09
378.296044531998,542.55993735896,11368.4078199703,1286.93
390.598557949718,569.117143111205,12424.5212409996,1337.28
388.925205394653,549.093214984855,12396.1950961839,1345.04
390.544072356641,556.03715192428,11744.2289957358,1343.65
424.7734229839799,816.1384128599282,10463.809264382091,1814.424
32.25020946941853,190.68872357960666,4309.857143676943,357.5652397175734

