Avg Turnover,Avg Throughput,Distance Travelling,Sim Completion
1_6
483.551194606491,10052.534672979,47545.275207135,20430.59
474.946797411053,9915.82011249183,48449.0073435812,20053.22
473.78804341178,9830.22279232347,47662.527651043,19888.28
467.876462479442,9782.30200534919,44622.3853349573,19764.56
487.086918128998,10204.4559666897,46556.369366298,20528.61
477.44988320755283,9957.067109966636,46967.1129806029,20133.052
7.768901732161576,172.2272768243018,1473.121013021822,334.31565438968005

2_12
427.17000154628,8974.03908550636,141023.415442335,17997.03
421.986649351763,8711.56498884917,138054.951158618,17753.34
426.756798138971,8896.14820448518,144870.948277538,18001.09
421.986649351763,8711.56498884917,138054.951158618,17753.34
430.184316826417,8983.10697416464,141762.102751509,18110.67
451.53338312529576,9406.17597916877,93860.19336916324,19028.072999999997
27.90659685015821,598.7840451041552,49476.03019080513,1190.7617186961559

3-18
433.82608192926,6015.82917992822,124641.199643204,12247.69
442.62610283283,6129.77279229555,127822.396956984,12534.63
447.535949448659,6186.25150211688,132394.773418179,12727.56
438.511498458447,6025.2283884757,125200.82602149,12390.32
436.080286110259,6070.44938252348,122694.166168528,12330.93
447.5942500021609,8299.286069135169,104757.01972666782,16834.124
23.28930948015833,1690.3901354125394,42802.89911974318,3352.0397516497324

