Avg Turnover,Avg Throughput,Distance Travelling,Sim Completion
1_6
462.650248530509,4868.87089535718,22100.4522910681,9835.93
465.041937823227,4844.44675232362,23316.1877513945,9884.5
474.075717015074,4971.60504574037,23816.8580043993,10076.27
476.423986081843,4967.82091587091,24922.9473767069,10144.72
475.469286495718,5005.53098294068,23653.9735939063,10071.94
470.73223518927415,4931.654918446552,23562.08380349502,10002.672
6.397510189302069,70.54920754240099,1015.1520623139756,134.31294788664258

2_12
427.119060785554,4505.50020659385,70901.7060322212,9053.58
420.497217301624,4390.34604179263,70073.410682695,8915.21
421.582252518325,4356.41998627127,70706.409196063,8942.78
420.497217301624,4390.34604179263,70073.410682695,8915.21
424.903035638269,4473.86755698155,70816.3592704481,9020.24
446.8259959491767,4677.47544256647,47038.171488159736,9486.037999999999
25.6339383422229,275.26545510902685,24756.718640425937,553.526019257953

3-18
431.229097645056,3000.56219641127,62921.5978232715,6227.34
441.229929775712,3020.95876835049,65089.6032540242,6341.09
427.50330839689,2914.25147449286,60821.603580212,6132.33
441.22690977561,3063.88475177017,63573.1577263702,6359.37
442.329722043464,3027.32252911519,63329.4240144826,6327.73
443.4519284752332,4120.115609720312,52407.80675199719,8416.549333333332
21.451999369355352,845.7420128335642,21365.012148574402,1628.06983652188

