Avg Turnover,Avg Throughput,Distance Travelling,Sim Completion
1_6,,,
548.8493142,9822.622001,80574.24335,20486.91
553.4686832,10024.48434,80436.48552,20498.5
509.2764407,10028.45659,77870.20886,20486.99
506.8300074,9845.380469,78199.67043,20498.5
590.5782209,9568.767343,83954.70421,20440.42
541.8005333,9857.942149,80207.06247,20482.264
34.8060631,188.3074972,2435.301979,24.09385876
,,,
2_12,,,
446.8492796,9493.894779,174073.385,18724.33
438.2597117,9241.134226,171494.1684,18357.46
472.0919763,9573.495348,187578.1785,19780.86
438.2597117,9241.134226,171494.1684,18357.46
479.2314773,9701.623203,189765.4224,20188.24
498.3694823,9654.099253,129544.0635,19781.967
52.9303525,283.8426211,52378.40393,930.7402599
,,,
18-Mar,,,
495.6033427,6520.11729,190796.6568,13900.99
480.925082,6477.779664,190476.0257,13517.19
470.2889682,6272.456271,186165.731,13194.99
454.4326834,6251.216387,178243.1253,12732.65
483.6306702,6679.772296,188231.0812,13544.07
491.2383713,8582.822296,148623.5503,17647.304
44.48110158,1587.522236,50509.85379,3221.252213
