Avg Turnover,Avg Throughput,Distance Travelling,Sim Completion
1_6
463.324206758303,1022.04541166743,7678.53719506255,2085.94
432.115881712766,971.719500304455,7060.54891818399,1945.35
461.546990211527,1126.06779249638,7685.20759278805,2078.03
493.001665877802,1096.59641598828,8307.66365894112,2218.88
488.484615842062,1070.49808757452,8431.0403551763,2204.76
467.694672080492,1057.3854416062127,7832.599544030401,2106.592
24.471467979012726,61.26638257493177,553.4751758776582,111.22817390391708

2_12
403.690351469288,926.800088099262,16800.3667764584,1800.22
406.929496109278,932.491719455719,16947.7077438996,1828.57
425.900907419252,983.82102358676,16869.6676625022,1897.63
406.929496109278,932.491719455719,16947.7077438996,1828.57
410.766469103502,962.162966635711,16287.2172162321,1844.84
439.2690080613058,1002.4694725264235,12301.56648631439,1973.279
34.61555939193674,72.71336686633299,4728.742939086448,160.69251565576351

3-18
391.316233823032,617.035068713397,16486.1915316888,1222.79
390.617292412209,621.213522866101,16504.8956970525,1244.43
385.080419622571,621.738375055768,16331.2250999638,1232.35
388.942848629279,625.706162751386,16609.6354032482,1238.47
386.754531318006,620.909235352506,16528.9578891656,1262.86
422.36009376121035,875.4198060002262,13698.438032284184,1728.9126666666668
37.21445142353117,194.91235953320825,4308.031071227553,380.2954675825227

