Avg Turnover,Avg Throughput,Distance Travelling,Sim Completion
1_6
466.198355291145,627.123121698417,2436.76918821158,1222.27
463.130910153518,616.297539262549,2613.14958471777,1161.59
470.175521784855,625.306437469415,2657.50520777427,1236.43
492.516457209827,663.025470380023,2674.35914741549,1251.95
487.949726977757,662.471989196229,2860.66064221119,1238.77
475.99419428342037,638.8449116013265,2648.48875406606,1222.202
13.33416124123866,22.203675699405014,151.52682540101,35.48132353788404

2_12
396.964013225914,508.209149172192,6566.56393772397,1044.22
415.141251295915,538.547860243073,7120.47471805995,1059.02
415.51335111112,559.337585339209,8203.95425153275,1101.04
415.141251295915,538.547860243073,7120.47471805995,1059.02
430.826421780806,554.580204437106,7739.75453385977,1104.27
445.3557260126772,589.3447217441286,4999.366592956669,1147.8580000000002
34.43840389642508,55.852961872974184,2515.692738360298,83.85695714860053

3-18
362.165714230374,365.862294237404,6652.5350537935,774.59
351.594714201652,362.496449873186,5493.11965074456,738.65
370.204517806768,379.980690306686,6753.49448822915,777.41
313.435564287874,313.443654286176,6068.88309417626,753.85
362.832505039374,369.264837617668,6068.77455427855,784.49
414.2526850461876,512.299676250827,5402.03151805258,1020.5046666666668
54.5994938269542,122.13320613175529,2119.088847410677,198.43950967006353

